City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,saldanha,4,PT,1564271933,67,41.42,41.42,60.18,5.19
1,tasiilaq,75,GL,1564271676,57,65.61,65.61,51.8,1.12
2,punta arenas,0,CL,1564271903,65,-53.16,-53.16,44.6,20.8
3,jamestown,32,AU,1564271922,57,-33.21,-33.21,59.1,10.04
4,vao,0,EE,1564271946,69,59.1,59.1,67.2,3.56
5,hermanus,0,ZA,1564271920,98,-34.42,-34.42,52.0,1.99
6,butaritari,77,KI,1564271926,72,3.07,3.07,84.84,8.52
7,mandera,61,ET,1564272012,52,3.94,3.94,76.2,13.27
8,puri,21,ID,1564272056,78,-7.54,-7.54,71.88,6.6
9,victoria,75,BN,1564271899,83,5.28,5.28,80.6,3.36
10,new norfolk,20,AU,1564271931,61,-42.78,-42.78,55.99,9.17
11,codrington,51,AU,1564271926,82,-28.95,-28.95,62.6,2.19
12,longyearbyen,0,NO,1564271914,61,78.22,78.22,50.0,5.82
13,tura,0,RU,1564271704,68,64.27,64.27,59.82,5.68
14,nikolskoye,15,RU,1564271911,88,59.7,59.7,66.99,4.68
15,cape town,75,ZA,1564271792,100,-33.93,-33.93,61.0,4.7
16,georgetown,75,GY,1564271821,88,6.8,6.8,78.8,4.7
17,airai,9,TL,1564271920,57,-8.93,-8.93,76.38,0.81
18,hilo,20,US,1564271880,58,19.71,19.71,84.2,10.29
19,sonoita,1,US,1564271920,42,31.68,31.68,105.8,11.41
20,kobryn,16,BY,1564272057,92,52.21,52.21,62.34,9.42
21,port hardy,90,CA,1564271922,93,50.7,50.7,60.8,5.82
22,saurimo,0,AO,1564272057,20,-9.66,-9.66,57.3,5.39
23,xushan,0,CN,1564272057,74,30.18,30.18,91.0,11.18
24,barrow,100,AR,1564271923,69,-38.31,-38.31,43.26,7.63
25,albany,20,US,1564271830,45,42.65,42.65,84.2,5.82
26,kapaa,40,US,1564271914,70,22.08,22.08,86.0,17.22
27,vysokogornyy,98,RU,1564272057,92,50.1,50.1,61.44,5.17
28,hithadhoo,16,MV,1564271923,68,-0.6,-0.6,82.32,1.54
29,santa lucia,40,IT,1564272058,83,41.98,41.98,80.6,14.99
30,mabaruma,65,GY,1564272058,98,8.2,8.2,73.5,2.55
31,bredasdorp,0,ZA,1564271908,87,-34.53,-34.53,55.4,3.36
32,vaini,100,IN,1564271899,90,15.34,15.34,76.02,6.55
33,isangel,40,VU,1564271932,60,-19.55,-19.55,75.2,9.17
34,cidreira,42,BR,1564271952,93,-30.17,-30.17,51.72,3.38
35,riacho de santana,19,BR,1564271882,50,-13.61,-13.61,67.02,7.76
36,manokwari,72,ID,1564272058,70,-0.87,-0.87,77.82,2.42
37,constitucion,75,MX,1564271940,26,23.99,23.99,78.8,8.05
38,carballo,0,ES,1564272059,93,43.21,43.21,63.0,1.12
39,mataura,100,NZ,1564271897,81,-46.19,-46.19,52.0,1.01
40,erzin,0,TR,1564272059,51,36.95,36.95,82.4,9.17
41,khatanga,87,RU,1564271916,58,71.98,71.98,51.54,11.3
42,tuktoyaktuk,40,CA,1564271913,42,69.44,69.44,64.4,14.99
43,vardo,1,US,1564272059,48,39.62,39.62,84.99,6.93
44,margate,20,AU,1564271974,61,-43.03,-43.03,55.99,9.17
45,busselton,1,AU,1564271696,74,-33.64,-33.64,42.01,8.84
46,newport,1,US,1564271794,73,41.49,41.49,73.99,8.05
47,lamar,90,US,1564271855,25,38.09,38.09,96.8,14.99
48,mahebourg,75,MU,1564271919,94,-20.41,-20.41,71.6,13.87
49,tiksi,13,RU,1564271943,72,71.64,71.64,38.4,9.78
50,coihaique,0,CL,1564271945,86,-45.58,-45.58,35.6,2.24
51,mantua,75,IT,1564272060,100,45.16,45.16,71.6,5.82
52,kavaratti,10,IN,1564271933,77,10.57,10.57,81.42,9.1
53,rocha,0,UY,1564271910,94,-34.48,-34.48,42.72,4.47
54,ribeira grande,40,PT,1564271916,88,38.52,38.52,73.4,8.05
55,arraial do cabo,49,BR,1564271907,88,-22.97,-22.97,69.0,14.67
56,honningsvag,89,NO,1564272061,80,70.98,70.98,44.16,10.16
57,rikitea,57,PF,1564271626,82,-23.12,-23.12,73.68,4.92
58,baruun-urt,0,MN,1564271928,52,46.68,46.68,67.2,16.26
59,yellowknife,75,CA,1564271646,36,62.45,62.45,60.8,11.41
60,upernavik,62,GL,1564271932,77,72.79,72.79,42.0,4.29
61,bluff,0,AU,1564271899,44,-23.58,-23.58,67.74,5.5
62,thompson,40,CA,1564271921,44,55.74,55.74,78.8,18.34
63,ushuaia,20,AR,1564271844,56,-54.81,-54.81,44.6,17.22
64,qaanaaq,22,GL,1564271923,55,77.48,77.48,44.52,4.59
65,souillac,0,FR,1564271924,88,45.6,45.6,63.0,5.82
66,redlands,1,US,1564271978,34,34.06,34.06,105.01,10.29
67,kirakira,55,SB,1564271977,82,-10.46,-10.46,81.06,17.16
68,fortuna,1,US,1564271923,60,40.6,40.6,71.6,14.99
69,manchester,1,US,1564272033,69,43.0,43.0,78.01,4.7
70,tomatlan,1,MX,1564272062,60,19.93,19.93,86.28,11.03
71,lompoc,75,US,1564271963,82,34.64,34.64,89.01,9.17
72,alekseyevka,0,RU,1564272062,77,53.25,53.25,60.8,6.71
73,shimoda,75,JP,1564271953,88,34.7,34.7,84.0,17.22
